"","age","educ","black","married","nodegree","re74","re75","re78","hisp","sample","treat","educ_cat4"
"1",42,16,0,1,0,0,0,100.485405,0,2,0,4
"2",18,11,0,0,1,1310.749512,1455.532227,2157.480713,0,2,0,1
"3",53,12,0,1,0,25862.32227,25243.54883,25427.24023,0,2,0,2
"4",51,8,0,1,1,15973.90234,12967.30664,0,0,2,0,1
"5",53,12,0,1,0,22884.23633,24563.22656,24081.0332,0,2,0,2
"6",55,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"7",52,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"8",51,12,0,1,0,25427.36523,13549.16113,14803.86523,0,2,0,2
"9",47,12,0,1,0,19716.10156,25243.54883,0,0,2,0,2
"10",53,12,0,1,0,25862.32227,0,16463.35156,0,2,0,2
"11",42,12,0,1,0,0,3931.54834,14518.66406,0,2,0,2
"12",55,14,0,1,0,0,0,0,0,2,0,3
"13",55,13,0,1,0,13738.37891,13024.59668,5989.225586,0,2,0,3
"14",52,16,0,1,0,8961.686523,22427.37109,24310.08008,0,2,0,4
"15",52,14,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,3
"16",40,13,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,3
"17",54,16,0,1,0,11069.85742,10741.93555,0,0,2,0,4
"18",48,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"19",54,12,0,1,0,25862.32227,25243.54883,25564.66992,0,2,0,2
"20",51,12,0,1,0,25862.32227,25243.54883,215.7480774,0,2,0,2
"21",43,15,0,1,0,2121.885986,3260.17749,0,0,2,0,3
"22",47,12,0,1,0,8052.586426,7533.677246,0,0,2,0,2
"23",47,12,0,1,0,25862.32227,23293.88672,0,0,2,0,2
"24",43,12,0,1,0,25862.32227,0,25564.66992,0,2,0,2
"25",47,6,0,1,1,0,0,0,0,2,0,1
"26",18,12,0,0,0,0,3485.758057,5980.359375,0,2,0,2
