Mean Probability,Standard Deviation
0.32504112,0.45967755
0.3239333,0.45811087
0.33174047,0.46915188
0.62305903,0.44336817
0.6584186,0.46558973
0.64844674,0.45881924
0.33149225,0.46880084
0.39359978,0.4327435
0.61750674,0.43701696
0.32710072,0.4625903
0.58921784,0.41812187
0.9477139,0.014271243
0.6962676,0.41094822
0.5141217,0.3960263
0.44672212,0.36368236
0.6592888,0.4662227
0.65379184,0.46239623
0.67087084,0.46123877
0.6576236,0.46509838
0.6450955,0.45629966
0.93253374,0.032014214
0.9682424,0.034966636
0.6608158,0.46726742
0.6579288,0.4652419
0.60924333,0.43110818
0.9494334,0.048967384
0.6590083,0.46601823
0.60132223,0.43184936
0.6378314,0.4510155
0.32983163,0.46645233
0.66202456,0.4681299
0.64185566,0.45387337
0.59814143,0.42717427
0.9906625,0.0040581245
0.65007895,0.45978415
0.3315757,0.46891883
0.6280624,0.44523618
0.3010637,0.42576832
0.6581225,0.46544972
0.6618529,0.46801376
0.33214644,0.46972597
0.660094,0.44887242
0.47791925,0.36653373
0.6322841,0.44755203
0.66352886,0.46918583
0.3284602,0.44570145
0.6106313,0.43414935
0.549917,0.41279742
0.6253944,0.44401088
0.30309847,0.42864594
0.33963653,0.4509993
0.599869,0.4259611
0.30925035,0.43734604
0.48999357,0.38023412
0.3311933,0.46837804
0.4651705,0.41015694
0.6634811,0.46915832
0.3497062,0.45733073
0.48746693,0.38691252
0.9730361,0.0152770085
0.9803862,0.01061386
0.6599419,0.4666826
0.6046558,0.42922935
0.98959064,0.005943907
0.65156144,0.46072382
0.2999962,0.42425868
0.66221565,0.46825784
0.66245687,0.46843043
0.98566824,0.013517797
0.65706867,0.46464708
0.65489084,0.4631836
0.4080238,0.42617995
0.64316314,0.45551184
0.629268,0.44653267
0.6532764,0.46218908
0.66232705,0.4683365
0.4968696,0.4064542
0.6585527,0.4656682
0.6248853,0.44200295
0.55392677,0.40984333
0.98713255,0.010432964
0.32058978,0.40948558
0.6470638,0.45760685
0.6553892,0.46350515
0.30682835,0.4339208
0.6527684,0.46175465
0.6348017,0.44909108
0.6363613,0.44924656
0.32154006,0.4547263
0.6417075,0.4538677
